period,resource,kind,capacity,full_demand_load,headroom_xi,critical
19,K16,edge,1728000.0,65724.375015,26.291615547589853,False
19,K15,edge,6048000.0,492735.40028215304,12.27433627974925,False
19,K18,edge,1728000.0,8558.33332625,201.9084714426701,False
19,K19,edge,1728000.0,38133.3333425,45.31468530379236,False
19,K20,edge,1728000.0,35473.8541725,48.7119327828657,False
19,K21,edge,1728000.0,26431.176475294116,65.3773395828674,False
19,K22,edge,1728000.0,18420.0,93.81107491856677,False
19,K23,edge,1728000.0,44022.549024705884,39.25261117956231,False
19,K17,edge,6048000.0,297059.3839267954,20.359565552355733,False
19,K25,edge,1728000.0,44392.98246210526,38.925071129768206,False
19,K24,edge,6048000.0,228901.6507505465,26.421827803203644,False
19,K26,edge,6048000.0,135450.2999038906,44.6510639274434,False
19,K27,edge,6048000.0,91720.92215340196,65.93915388121377,False
19,K28,edge,6048000.0,69370.75803068011,87.18370927019701,False
19,K29,edge,6048000.0,8262.80834914611,731.954529796762,False
19,K31,edge,1728000.0,77428.23529411765,22.31744005834625,False
19,K32,edge,1728000.0,36956.86275529412,46.75721560679449,False
19,K33,edge,1728000.0,14095.281128915663,122.59422030647596,False
19,K34,edge,1728000.0,57639.41178,29.97948706686125,False
19,K35,edge,1728000.0,7684.411764705882,224.8708232862556,False
20,K1,edge,6652800.0,1026045.7849268068,6.483921183375437,False
20,K3,edge,2851200.0,49295.51470235294,57.83893356658488,False
20,K2,edge,6652800.0,925447.9809781135,7.188734684977757,False
20,K5,edge,95625.398677,73095.02825647058,1.3082339655369783,False
20,K6,edge,32303.150466,22187.654595294116,1.4559064964374975,False
20,K4,edge,6652800.0,783892.899077443,8.486873663263978,False
20,K8,edge,50754.069343,36603.785811764705,1.3865797817745753,False
20,K7,edge,6652800.0,708094.4683118062,9.39535654876839,False
20,K11,edge,96306.672469,21441.779790588236,4.491542838774668,False
20,K9,edge,6652800.0,651247.9651056277,10.215463781020743,False
20,K12,edge,47196.777259,11494.509805882353,4.106027839033805,False
20,K10,edge,6652800.0,600678.5773934077,11.075474056140383,False
20,K14,edge,1900800.0,25067.873305882353,75.82613717590331,False
20,K13,edge,6652800.0,545576.7752178549,12.194067457038402,False
20,K16,edge,1900800.0,56212.11336875,33.81477560772002,False
20,K15,edge,6652800.0,434806.9843273194,15.300582188881819,False
20,K18,edge,1900800.0,17363.54167375,109.47075404976897,False
20,K19,edge,1900800.0,24800.9615425,76.64218972892269,False
20,K20,edge,1900800.0,30166.243985,63.01082763055163,False
20,K21,edge,1900800.0,27199.884987058824,69.88264843415197,False
20,K22,edge,1900800.0,14531.08974625,130.80918452730185,False
20,K23,edge,1900800.0,38108.759428235295,49.87829644729058,False
20,K17,edge,6652800.0,260896.15374815936,25.499800991400917,False
20,K25,edge,1900800.0,29184.61539368421,65.1302055675316,False
20,K24,edge,6652800.0,210839.8460546224,31.553807899653158,False
20,K26,edge,6652800.0,118652.82153668118,56.069463109592434,False
20,K27,edge,6652800.0,79957.49758690594,83.20420474351464,False
20,K28,edge,6652800.0,56996.30890287959,116.72334802129414,False
20,K29,edge,6652800.0,8967.790589500317,741.8549679102947,False
20,K31,edge,1900800.0,77428.23529411765,24.549184064180874,False
20,K32,edge,1900800.0,32762.682872941175,58.01722671405149,False
20,K33,edge,1900800.0,15765.013901204818,120.57077855508481,False
20,K34,edge,1900800.0,45178.7028682353,42.07292107397873,False
20,K35,edge,1900800.0,8340.045248235294,227.91243253772495,False
21,K1,edge,6048000.0,817194.8832246873,7.40092739706632,False
21,K3,edge,2592000.0,44113.56198352941,58.75744064756706,False
21,K2,edge,6048000.0,732221.5770799235,8.25979483439867,False
21,K5,edge,86932.180615,68809.21216941177,1.263379973032805,False
21,K6,edge,29366.500423,18690.3803,1.5712093575217407,False
21,K4,edge,6048000.0,608110.9057565156,9.945554244708099,False
21,K8,edge,46140.063039,31739.198442352943,1.4537248986549853,False
21,K7,edge,6048000.0,545966.1620263369,11.077609604142923,False
21,K11,edge,87551.520426,16829.655235294118,5.202217110329886,False
21,K9,edge,6048000.0,501838.1986897259,12.051693186750274,False
21,K12,edge,42906.161145,8848.131857647058,4.849177412282578,False
21,K10,edge,6048000.0,462879.77491069527,13.06602778478895,False
21,K14,edge,1728000.0,19254.68648,89.74438518097335,False
21,K13,edge,6048000.0,420481.0996851605,14.383524026474676,False
