scenario,lambda_star,bottleneck_argmin,bottleneck_near_set,bottleneck_class,near_set_size,runner_up_margin,stage2_satisfaction,stage3_variation,feasibility_tolerance,draw
efficiency,0.8314380977541903,source:19,source:19,source,1,0.0008217465581316554,0.8916257343027711,5.799668908137717,1e-09,55.0
efficiency,0.8476650786374267,source:18,source:18,source,1,0.0002005629923553233,0.9013609508460996,5.536904424480908,1e-09,56.0
efficiency,0.8281020401328681,source:20,source:20,source,1,0.000226483113380792,0.8913413091738082,5.82176221049046,1e-09,57.0
efficiency,0.8490380406505972,source:20,source:20,source,1,0.0001486963538703578,0.9019824443081327,5.626225170499341,1e-09,58.0
efficiency,0.8097964289607696,source:18,source:18,source,1,0.0006751567384369311,0.8779318835511968,6.295930930240221,1e-09,59.0
efficiency,0.8841176470495188,edge:17:K8,edge:13:K8;edge:17:K8,edge,2,0.010778443123053011,0.9459150272270135,5.0431949779967296,1e-08,60.0
efficiency,0.8754966487597612,source:19,source:19,source,1,0.00022554632552048464,0.9187842838296415,4.756006986083562,1e-09,61.0
efficiency,0.8807031436499949,source:21,source:21,source,1,0.00027027588254531867,0.9226919652254368,4.921132798801611,1e-09,62.0
efficiency,0.8582134059960073,source:19,source:19,source,1,0.00029651907261309373,0.909722111170187,5.587357982559707,1e-09,63.0
efficiency,0.84424868428547,source:20,source:20,source,1,3.132902556244447e-05,0.8986766824570156,5.488400878599361,1e-09,64.0
efficiency,0.8644826998936684,source:21,source:21,source,1,0.000568569813987961,0.912703222474483,5.246682833199882,1e-09,65.0
efficiency,0.8517770021043788,source:23,source:23,source,1,3.249728163098718e-05,0.9038759657668786,5.739595318904231,1e-09,66.0
efficiency,0.8006523591583522,source:22,source:22,source,1,0.00026958200893400163,0.8699437008790133,6.609013549930491,1e-09,67.0
efficiency,0.8471574238893094,source:22,source:22,source,1,0.0002348318008992485,0.9005230156884932,5.534339674186123,1e-09,68.0
efficiency,0.8657393522253913,source:24,source:24,source,1,0.0006063564288722446,0.9135470832261218,5.146421724988496,1e-09,69.0
efficiency,0.8762316108382455,source:24,source:24,source,1,4.639276823275587e-05,0.9213818488870373,5.026597990059557,1e-09,70.0
efficiency,0.8504766605540481,source:24,source:24,source,1,0.0007203565142040616,0.9057838211984527,5.703520463722563,1e-09,71.0
efficiency,0.8514101729576743,source:23,source:23,source,1,7.603213561598468e-05,0.9037768550101047,5.716104939139307,1e-09,72.0
efficiency,0.844273899224994,source:22,source:22,source,1,6.664459485658658e-05,0.89876255067158,5.777881437515759,1e-09,73.0
efficiency,0.8386660336316929,source:18,source:18,source,1,7.211443228043438e-05,0.8966247299367839,5.355963491388676,1e-09,74.0
efficiency,0.8788235294214993,edge:14:K12,edge:14:K12,edge,1,0.0015386914912284605,0.9230119785545587,4.921948903032983,1e-09,75.0
efficiency,0.8495869039114939,source:24,source:24,source,1,0.0007288234437278368,0.9035446454856491,5.643192927055553,1e-09,76.0
efficiency,0.857255686348865,source:19,source:19,source,1,0.000654643664454034,0.9081007381035434,5.333675252826056,1e-09,77.0
efficiency,0.8337135907563012,source:20,source:20,source,1,7.957109803143952e-05,0.8921840012918083,5.884915483948632,1e-09,78.0
efficiency,0.8147508714778976,source:24,source:24,source,1,0.0005496131013701199,0.8801274285771487,6.216624779519722,1e-09,79.0
